File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 91123 (62.92%), 53690 (37.08%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 144813 (100.00%), 144813
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,144813.187000
attention_column,test1,0.001000,0.001000,0.001000,6046.837000,0.000000,0.000000,6046.837000,5.167991,2.583996,0.000000,-nan,0.000000,0.000000,-nan,0.000000,144813.187000
attention_row,test1,0.001000,0.001000,0.001000,6046.837000,0.000000,0.000000,6046.837000,5.167991,2.583996,0.000000,-nan,0.000000,0.000000,inf,0.000000,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6000.216000,0.000000,0.000000,6000.216000,0.000636,0.000318,0.000000,-nan,0.000000,0.000000,-nan,0.000000,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6779.538000,0.000000,6831.389000,6779.538000,4.609458,4.321367,0.000000,-nan,0.000000,6831.389000,4.574472,4.288568,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6093.316000,0.000000,6093.360000,6093.316000,10.257141,5.128571,0.000000,-nan,0.000000,6093.360000,10.257067,5.128533,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6093.566000,0.000000,6186.324000,6093.566000,10.256720,5.128360,0.000000,-nan,0.000000,6186.324000,10.102930,5.051465,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6526.303000,0.000000,6640.159000,6526.303000,4.788316,4.489046,0.000000,-nan,0.000000,6640.159000,4.706213,4.412074,144813.187000
attention_column,test1,0.001000,0.001000,0.001000,6046.712000,0.000000,0.000000,6046.712000,5.168098,2.584049,0.000000,-nan,0.000000,0.000000,-nan,0.000000,144813.187000
attention_row,test1,0.001000,0.001000,0.001000,6046.962000,0.000000,0.000000,6046.962000,5.167884,2.583942,0.000000,-nan,0.000000,0.000000,inf,0.000000,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6000.139000,0.000000,0.000000,6000.139000,0.000636,0.000318,0.000000,-nan,0.000000,0.000000,-nan,0.000000,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6703.302000,0.000000,6688.702000,6703.302000,4.661881,4.370514,0.000000,-nan,0.000000,6688.702000,4.672058,4.380054,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6093.316000,0.000000,6093.360000,6093.316000,10.257141,5.128571,0.000000,-nan,0.000000,6093.360000,10.257067,5.128533,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6093.566000,0.000000,6141.305000,6093.566000,10.256720,5.128360,0.000000,-nan,0.000000,6141.305000,10.176991,5.088495,144813.187000
mlp_moelayer,test1,0.001000,0.001000,0.001000,7001.134000,0.000000,6519.844000,7001.134000,4.463562,4.184590,0.000000,-nan,0.000000,6519.844000,4.793059,4.493493,144813.187000
final_column,test1,0.001000,0.001000,0.001000,6046.904000,0.000000,0.000000,6046.904000,5.167934,2.583967,0.000000,-nan,0.000000,0.000000,-nan,0.000000,144813.187000
SUM,test1,0.016000,0.016000,0.016000,93618.648000,0.000000,51194.443000,93618.648000,NONE,NONE,0.000000,NONE,NONE,51194.443000,NONE,NONE
total exposed comm,144813.139000,total comp,0.048000,total time,144813.187000
